event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
486,255003,255003000000000,13,-47.612089140361306,-46.797880647877605,0.25662031978253991,0.00036679662383922194,0.00021016435784152395,false,255011
487,255458,255458000000000,2,-77.355674606673318,-25.102312587138194,0.34127875526788581,0.00048777244525319627,0.00012318790555537781,false,255466
488,255998,255998000000000,12,-49.234809634392832,-20.084262338344971,0.72748346722399593,0.001039468328311182,0.001032344115601754,true,256006
489,256094,256094000000000,12,-49.239166299698731,-14.354042119562216,0.47374456925813802,0.00067703502332776863,0.00059547324754726969,false,256102
490,257943,257943000000000,30,-28.033262717070027,-29.168400993458558,0.40992459020220451,0.00058585571655702425,0.00051407681473716578,false,257951
491,258438,258438000000000,18,-60.872030447169095,-37.715248285892535,0.71865796461831088,0.0010268644423260772,3.9581211338027377e-09,true,258446
492,258700,258700000000000,18,-60.637741331920481,-22.084270283984743,0.88432945643744498,0.0012634368621326391,0.00074897174625334414,true,258708
493,258921,258921000000000,17,-63.290851268826628,-41.537010128871195,0.50972185323389696,0.00072843193480221315,4.6000818155745558e-05,true,258929
494,259445,259445000000000,17,-62.93242763188433,-10.271588569306369,0.325899692151085,0.00046579704905779949,7.8345187077251944e-06,false,259453
495,260907,260907000000000,14,-69.752869822777512,-20.974651901753347,0.60553326246506411,0.00086529459112538894,0.0004629136753003217,true,260915
496,261728,261728000000000,23,-44.030414704804066,-31.836057606803916,0.76149391629096708,0.0010880378791271923,0.00099263577872613497,true,261736
497,262039,262039000000000,12,-74.309047576153759,-18.718767901435193,0.36420619191074788,0.00052053293947127734,0.00028658100860399425,false,262047
498,262242,262242000000000,22,-46.348186109314938,-33.8106616995439,0.75652730742168328,0.0010809453249112813,0.0003579994836970914,true,262250
499,262272,262272000000000,22,-46.31325714467328,-32.02111006471273,0.80351962005294264,0.0011480505715448226,0.00038434473796368241,true,262280
500,262346,262346000000000,33,-15.83530296234923,-22.164651400718299,0.16342619740415087,0.00023360648378957023,0.00016327366092263758,false,262354
501,262583,262583000000000,22,-46.217031048345099,-13.461056458474966,0.40703092943749541,0.00058172135975435282,0.00030674926559530371,false,262591
502,262638,262638000000000,11,-76.591271155755109,-15.620979725553056,0.22585018267423437,0.00032282286347841535,1.9097701639943279e-05,false,262646
503,262971,262971000000000,21,-78.920192351346685,-28.398827441798176,0.28836839554347976,0.00041216593382474527,0.0002382097415504107,false,262979
504,263210,263210000000000,32,-48.517725752933643,-8.6914128989012891,0.24439587202828622,0.00034932683460356574,1.5336788070865889e-05,false,263218
505,263696,263696000000000,30,-53.595993179741711,-44.977777366350772,0.35471149100605426,0.00050696630695507884,0.0004865937170599339,false,263704
506,264364,264364000000000,40,-25.057315416889683,-32.332770581316467,0.32462913111924019,0.00046398150189818683,0.00017241016865272895,false,264372
507,266099,266099000000000,37,-31.820836245617752,-26.742701508450715,0.4991834297193356,0.0007133770859756725,0.00030595764136854317,false,266107
508,266392,266392000000000,37,-31.812356513586781,-9.2542771964361137,0.14810201677714266,0.00021170394276423635,0.00019870908961898897,false,266400
509,266673,266673000000000,36,-34.087551395267226,-25.13761049425807,0.54264003184119525,0.00077545631260957559,0.00067164309781551467,true,266681
510,266749,266749000000000,25,-64.47433257733519,-26.043683460896641,0.92053387291124988,0.0013151278951419626,0.00023838389888029802,true,266757
511,266971,266971000000000,25,-64.456071837461906,-12.793440832255692,0.41817253293025869,0.0005976399820005582,0.00033836906551866925,false,266979
512,267188,267188000000000,24,-66.838179334964821,-32.493465082638025,0.7925719711405822,0.001132417679452319,0.00098917801066977589,true,267196
513,267252,267252000000000,24,-66.780238007521234,-28.675233168366717,0.85111601589479946,0.0012160138566021299,0.00082224052656116665,true,267260
514,267807,267807000000000,34,-38.63354146547676,-22.762670343105313,0.61168900767011947,0.00087408717901121108,0.0005506822174745382,true,267815
515,267904,267904000000000,34,-38.625302408609862,-16.973158078105559,0.44096620533171121,0.00063020576657986675,0.0002743899955118818,false,267912
516,268545,268545000000000,33,-40.920604923851997,-11.368047030907539,0.27901631277206762,0.00039880163568402062,0.00015839190058072921,false,268553
517,268776,268776000000000,43,-43.259662905808895,-30.233788967951607,0.77059783059123865,0.0011010385719612003,0.0010994501013042455,true,268784
518,268847,268847000000000,54,-12.806041607073652,-20.555629565285788,0.11933510720018133,0.00017058668564831357,5.2975726085470767e-05,false,268855
519,271065,271065000000000,39,-52.318469275968219,-24.231496998538734,0.90435655741210641,0.0012920309843197761,0.00093610286589465022,true,271073
520,271843,271843000000000,37,-57.311712030282109,-43.091536415455856,0.45063955104213221,0.00064402595212508819,0.00042080462154172395,false,271851
521,272378,272378000000000,36,-59.627137334871946,-43.812758123196971,0.41965318738507851,0.00059975545544225888,0.00055246127650885506,false,272386
522,272451,272451000000000,47,-28.905164239223865,-34.023671366588609,0.38086836717609196,0.00054434047007476138,0.00010528206403801901,false,272459
523,274062,274062000000000,33,-66.348237751742829,-41.268132625483709,0.47180354889685927,0.00067426201923635786,0.00062171070122062837,false,274070
524,274830,274830000000000,43,-68.307897091709151,-28.093164129940725,0.78687417521149516,0.0011242813125074804,0.00066433663903316977,true,274838
525,275179,275179000000000,53,-40.3131150742838,-34.471623766744138,0.61763439574579282,0.0008825792288371686,0.00062633984030193812,true,275187
526,276163,276163000000000,62,-14.519694523889761,-35.606058877766465,0.13582172794098024,0.00019415162829820561,8.7978555424963025e-05,false,276171
527,277454,277454000000000,60,-18.911634004049176,-23.8648936514513,0.21764934976799402,0.00031110268474013471,0.0001795752992275316,false,277462
528,277993,277993000000000,48,-51.626513760044858,-29.789352566149006,0.93054834162399169,0.0013294256295473474,0.00085812881088135598,true,278001
529,278303,278303000000000,58,-23.721969821566827,-38.492817806338884,0.21767917706096171,0.00031114531251351271,0.00013966672798867326,false,278311
530,280157,280157000000000,44,-60.766727489083038,-31.245544473578615,0.96212001893232524,0.0013744994174604602,0.0011615630336117724,true,280165
531,280340,280340000000000,55,-30.299695060451754,-14.882710160553945,0.25585079481255418,0.00036569691535068239,0.00022874727090341795,false,280348
532,280422,280422000000000,54,-63.69898692102241,-48.063203179652724,0.23570136592933483,0.00033690145037908631,0.00021126424985541125,false,280430
533,281172,281172000000000,53,-65.425358592453904,-35.969974642829008,0.724147297888869,0.0010347038933757123,0.00052648622298360212,true,281180
534,281772,281772000000000,52,-67.633392009290091,-32.814833238519626,0.75365770328109516,0.0010768473704550509,0.00098044173883550848,true,281780
535,281856,281856000000000,63,-37.141466345662174,-22.361930647576759,0.5689604659280102,0.00081305406804732679,0.00034957497210977469,true,281864
536,282518,282518000000000,51,-69.79667857159582,-20.946598198495366,0.60290783950012816,0.00086154453223199849,0.00059067903153161487,true,282526
537,282529,282529000000000,51,-69.795345518581442,-20.290068116062653,0.58300762600276568,0.00083311933171897467,0.00043549157925468142,true,282537
538,283655,283655000000000,49,-74.352853182505783,-18.392272466460923,0.35493932747673568,0.00050729185635121422,0.0004021583785416891,false,283663
539,285126,285126000000000,57,-50.822160354839646,-23.114630134667973,0.85556803161338246,0.0012223706899540331,0.00014249538761541264,true,285134
540,285171,285171000000000,9,-19.386235289680208,-1.3444001272387451,0.020263677884213651,2.8968494906549608e-05,3.4528786126055645e-06,false,285179
541,285212,285212000000000,46,-81.203564707286702,-23.423988639794754,0.19518873428667355,0.00027900250656064183,0.00023242692657392491,false,285220
542,286665,286665000000000,65,-57.712483069039749,-29.219490352271126,0.99034090942400421,0.0014147876813889433,0.00080499732108773735,true,286673
543,287076,287076000000000,6,-26.300248398405977,-17.086226867962637,0.24674363128706162,0.00035268200858038282,0.00013925717886665215,false,287084
544,287872,287872000000000,63,-62.217462051469134,-22.488590055159712,0.88466665457788385,0.0012639183107729,1.975568107077425e-06,true,287880
545,288595,288595000000000,62,-64.503033959979533,-11.989339157236859,0.38270869570696159,0.00054696996458332892,0.00038601087413035843,false,288603
546,288834,288834000000000,61,-66.846795207661216,-30.377426171412559,0.83326924013991477,0.0011905308406354198,0.00079102678329999823,true,288842
547,289380,289380000000000,60,-69.127360481225395,-30.443173567325243,0.73345254257916526,0.0010479928002843145,0.0004364629487470476,true,289388
